OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_PUBLIC_UNITS,MENTAL_HEALTH_PRIVATE_PAY_UNITS,SENIOR_ASSISTED_LIVING,SENIOR_PUBLIC_UNITS,SENIOR_PRIVATE_PAY_UNITS,SUPPORTIVE_RECOVERY,SUPPORTIVE_RECOVERY_PUBLIC_UNITS,SUPPORTIVE_RECOVERY_PRIVATE_PAY_UNITS,LONGITUDE,LATITUDE
608698 BC Ltd. dba Harmony Living for Seniors,Harmony Living for Seniors - Kelowna,Assisted Living,962-964  Laurier Avenue,Kelowna,V1Y 6B1,(250) 861-3991,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,17,N,,,-119.4806541,49.8824813
Okanagan Mental Health Services Society,Coral House,Assisted Living,1367 Bernard Ave,Kelowna,V1Y 6R5,(250) 717-3030,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,Y,10,0,N,,,N,,,-119.4683825,49.8860284
Smithers Community Services Association,Cottonwood Manor,Assisted Living,2261 Copeland Avenue,Houston,V0J 1Z0,(250) 845-3770,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,6,0,N,,,-126.6497314,54.39689
"Diversicare Canada Management Services Co., Inc.",Courtyard Gardens,Assisted Living,7051 Moffatt Road,Richmond,V6Y 3W2,(604)273 4148,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,57,30,N,,,-123.1441684,49.162097
Courtyard Terrace Assisted Living Residence Partnership,Courtyard Terrace,Assisted Living,3730 Burke Street,Burnaby,V5H 1A3,(604) 437-6262,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,40,7,N,,,-123.0225089,49.2365917
Golden Life Management Corp.,Crest View Village,Assisted Living,"800 Cavell St, RR4",Creston,V0B 1G4,(250) 428-9986,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,23,20,N,,,-116.5157147,49.1043599
The Cridge Centre for the Family,Cridge Village Seniors Centre,Assisted Living,1307 Hillside Avenue,Victoria,V8T 0A2,(250) 384-8058,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,38,0,N,,,-123.3505342,48.4395848
Dania Society,Dania Manor,Assisted Living,4155 Norland Avenue,Burnaby,V5G 3S7,(604) 299-1379,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,40,10,N,,,-122.9747356,49.2472342
Sienna-Baltic (Cascades) Inc.,The Cascades,Assisted Living,45586 McIntosh Drive,Chilliwack,V2P 7W8,(604) 795-2500,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,45,3,N,,,-121.9629698,49.160818
Golden Life Management Corp.,Castle Wood Village,Assisted Living,525 Columbia Street,Castlegar,V1N 1G7,(250) 365-6686,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,15,35,N,,,-117.6656779,49.323826
Vancouver Coastal Health Authority,Cedar Garden Assisted Living,Assisted Living,1250 Cedar Village Close,North Vancouver,V7J 3P3,(604) 904-6409,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,30,0,N,,,-123.0400524,49.3264386
Chalmers Foundation,Chalmers Lodge,Assisted Living,1450 West 12th Avenue,Vancouver,V6H 1M9,(604) 731-3178,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,0,115,N,,,-123.1374537,49.2604752
Penticton and District Society for Community Living,Chestnut Place,Assisted Living,453 Winnipeg Street,Penticton,V2A 5M7,(250) 490-0200,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,30,3,N,,,-119.5948946,49.495406
Good Samaritan Canada,Christenson Village,Assisted Living,585 Shaw Road,Gibsons,V0N 1V8,(604) 886-8747,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,60,0,N,,,-123.5202772,49.4044948
Luther Court Society,Luther Court,Assisted Living,1525 Cedar Hill Cross Road,Victoria,V8P 5M1,(250) 477-7241,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,30,0,N,,,-123.3364271,48.4619202
Baptist Housing Society of BC,Marrion Village,Assisted Living,1968 Bee Street,Victoria,V8R 6P6,(250) 592-2593,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,50,2,N,,,-123.3213476,48.4311828
Mennonite Benevolent Society,Menno Assisted Living,Assisted Living,2021 Primrose Street,Abbotsford,V2S 2Y9,(604) 851-4004,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,41,54,N,,,-122.309596,49.0386276
Northern Health Authority,McConnell Estates,Assisted Living,4701 Kerby Avenue,Terrace,V8G 5V4,(250) 631-4268,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,22,0,N,,,-128.5928816,54.5327526
Saint Elizabeth Health Services,Millennium Tower,Assisted Living,1175 Broughton Street,Vancouver,V6G 3K9,(604) 408-9897,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,41,0,N,,,-123.1363126,49.2840797
Halcyon Assisted Living Society,Moberly Manor Assisted Living,Assisted Living,711 West First Street,Revelstoke,V0E 2S0,(250) 837-3147,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,11,0,N,,,-118.2019885,51.0024513
Mountain Lake Seniors Community Partnership,Mountain Lake Seniors Community,Assisted Living,908 Eleventh Street,Nelson,V1L 7A6,(250) 352-2600,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,29,11,N,,,-117.2656912,49.5085719
Good Samaritan Canada,Mountainview Village,Assisted Living,1540 K.L.O. Road,Kelowna,V1W 3P6,(250) 717-3918,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,89,0,N,,,-119.4649933,49.8616964
673848 B.C. Ltd.,Nicola Meadows Assisted Living,Assisted Living,2670 Garcia Street,Merritt,V1K 1B8,(250) 378-4254,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,13,12,N,,,-120.7835847,50.1148415
Nikkei Seniors Health Care and Housing Society,Nikkei Home,Assisted Living,6680 Southoaks Crescent,Burnaby,V5E 4N3,(604) 777-5000,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,59,0,N,,,-122.9651274,49.2174881
Progressive Intercultural Community Services Society,PICS Assisted Living,Assisted Living,12075 - 75A Avenue,Surrey,V3W 1S8,(604) 596-0052,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,49,0,N,,,-122.8879445,49.1403167
Good Samaritan Canada,Pioneer Lodge,Assisted Living,1051 6th Avenue NE,Salmon Arm,V1E 0A6,(250) 804-4814,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,30,0,N,,,-119.2727977,50.7046521
Kaigo Retirement Communities Ltd.,Pioneer Square,Assisted Living,2865 Willowdale Drive,Armstrong,V0E 1B1,(250) 546-3396,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,20,0,N,,,-119.1958505,50.4453194
Belvedere Care Centre Inc.,Residences at Belvedere,Assisted Living,750 Delestre Avenue,Coquitlam,V3K 0A1,(604) 939-1930,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,60,20,N,,,-122.8782194,49.2407092
CSH Riverside Manor Inc.,Riverside Manor,Assisted Living,765 Old Hope Princeton Way,Hope,V0X 1L4,(604) 860-4700,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,12,0,N,,,-121.4235351,49.3759263
Golden Life Management Corp.,Rocky Mountain Village,Assisted Living,55 Cokato Road,Fernie,V0B 1M4,(250) 423-4214,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,12,4,N,,,-115.0666592,49.4923848
Elim Housing Society & Elim Christian Care Society,Elim Village - Emerald Building,Assisted Living,9080 159th Street,Surrey,V4N 5T6,(604) 583-3546,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,53,56,N,,,-122.7813437,49.1676368
Chartwell Retirement Residences,Chartwell Langley Gardens Retirement Residence,Assisted Living,8888 - 202 Street,Langley,V1M 4A7,(604) 888-0228,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,85,N,,,-122.6598375,49.1654942
Evergreen Heights Baptist Housing Society,Evergreen Heights,Assisted Living,1501 Everall Street,White Rock,V4B 0A1,(604) 541-3817,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,84,1,N,,,-122.8095263,49.0294086
HCN-Revera Lessee (Fleetwood Villa) LP GP Inc. o/a Fleetwood Villa,Fleetwood Villa,Assisted Living,16028  83rd Avenue,Surrey,V4N 0N2,(604) 590-2889,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,9,45,N,,,-122.7780217,49.1534447
Seaview Seniors Housing Society,Forest Glen,Assisted Living,"Box 833, 1783 St. Jacques Blvd.",Ucluelet,V0R 3A0,(250) 726-2789,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,3,0,N,,,-125.5523697,48.942746
Active Care Senior Services Ltd.,Greenfield Gardens,Assisted Living,1607 Greenfield Ave,Kamloops,V2B 4N4,(250) 554-9244,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,21,N,,,-120.384838,50.7043198
Greenwoods Eldercare Society,Braehaven Assisted Living,Assisted Living,137 Blain Road,Salt Spring Island,V8K 0A1,(250) 537-5561,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,30,0,N,,,-123.5095093,48.8623409
S.U.C.C.E.S.S. Multi-Level Care Society,Harmony House - Vancouver,Assisted Living,580 Shanghai Alley,Vancouver,V6B 1N8,(604) 648-0012,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,33,0,N,,,-123.1053779,49.2799982
Haro Park Centre Society,Haro Park,Assisted Living,1233 Haro Street,Vancouver,V6E 3Y5,(604) 687-5584,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,28,0,N,,,-123.1284501,49.2856281
"Diversicare Canada Management Services Co., Inc.",Hawthorn Park Retirement Community,Assisted Living,867 K.L.O. Road,Kelowna,V1Y 9G5,(250) 861-6636,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,40,N,,,-119.4838649,49.8600973
"Benchmark Lifestyles, Inc.",Heritage House (Oliver),Assisted Living,409 Salamander Ave,Oliver,V0H 1T3,(250) 498-0622,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,33,20,N,,,-119.545803,49.1875106
Kaigo Retirement Communities Ltd.,Heritage Square,Assisted Living,3904-27th Street,Vernon,V1T 4X7,(250) 545-2060,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,23,2,N,,,-119.26823,50.270687
Good Samaritan Canada,Heron Grove,Assisted Living,4900 - 20th Street,Vernon,V1T 9W3,(250) 542-6101,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,38,2,N,,,-119.259139,50.2830685
Victoria Cool Aid Society,Hillside Terrace,Assisted Living,1460 Hillside Ave,Victoria,V8T 2B7,(250) 383-1977,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,45,0,N,,,-123.342568,48.4425235
Icelandic Care Home Hofn Society,Icelandic Harbour,Assisted Living,2020 Harrison Drive,Vancouver,V5P 2P6,(604) 321-3812,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,72,0,N,,,-123.0638421,49.2093852
Campbell River and District Association for Community Living,Ironwood Place,Assisted Living,1351 Ironwood Street,Campbell River,V9W 5Z7,(250) 287-4486,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,54,0,N,,,-125.2545522,50.0285603
M'akola Housing Society,Jesken Aerie,Assisted Living,817 Goldstream Avenue,Victoria,V9B 2X8,(250) 474-1524,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,60,0,N,,,-123.5018758,48.449097
Golden Life Management Corp.,Joseph Creek Village,Assisted Living,1901 Willowbrook Drive,Cranbrook,V1C 6S4,(250) 417-0666,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,28,37,N,,,-115.7470729,49.5273009
