,FID,FACILITY_NAME,FACILITY_TYPE,ADDRKEY,CIVIC,STNAME,STTYPE,JURISDICTION,COMMENT,APP_NUMBEDS,CONTACTNAME,CONTACTNUMBER,Language,NumBeds_int,geometry,LONGITUDE,LATITUDE
20,23,THE BRIARLEA,Special Care Home,23965.0,75,BRIARLEA,DR,MONCTON,,24,PIERRE BEAULIEU,(506) 857-8866,ENGLISH,24,POINT (-64.85852095699994 46.12586340100006),-64.85852095699994,46.12586340100006
21,24,CAREY HOUSE (THE),Special Care Home,4136.0,337,CAMERON,ST,MONCTON,,10,PATRICIA ANN MCCARTHY,(506) 388-2868,ENGLISH,10,POINT (-64.79128365099996 46.09512841300005),-64.79128365099996,46.09512841300005
22,26,TRUEMAN HOUSE,Special Care Home,4986.0,265,CHURCH,ST,MONCTON,,9,CARY MACDONALD,(506) 389-3138,ENGLISH,9,POINT (-64.77936202099994 46.09745296000006),-64.77936202099994,46.09745296000006
23,27,SUNSHINE HOUSE,Special Care Home,15767.0,164,PARK,ST,MONCTON,,9,PETER ROSSBACH & JULIA AGIR,(506) 870-0353,ENGLISH,9,POINT (-64.78869339399995 46.09112235600003),-64.78869339399995,46.09112235600003
24,28,RESIDENCE HELENE RESIDENCE INC,Special Care Home,28597.0,46,WINNIPEG,ST,MONCTON,,20,ERIC BOURGOIN AND MARYSE AUBE,(506) 855-3366,BILINGUAL,20,POINT (-64.80566866999993 46.09756525200004),-64.80566866999993,46.09756525200004
25,29,GRASS HOME LTD.,Special Care Home,35030.0,774,COVERDALE,RD,RIVERVIEW,,6,JOHN OR LYNN GRASS,(506) 386-1740,ENGLISH,6,POINT (-64.82220144899998 46.05917455000008),-64.82220144899998,46.05917455000008
26,30,ALOUETTE SPECIAL CARE HOME/FOYER DE SOINS SPECIAUX,Special Care Home,,2100,AMIRAULT,ST,DIEPPE,,55,ARTHUR MCDONOUGH,(506) 857-9200,BILINGUAL,55,POINT (-64.68862347099997 46.05528082400008),-64.68862347099997,46.05528082400008
27,31,AUBERGE DU SOLEIL,Special Care Home,,125,AUCOIN,ST,DIEPPE,,130,MARC & PIERRE OUELLETTE,(506) 858-8558,BILINGUAL,130,POINT (-64.69373470199997 46.07746432300007),-64.69373470199997,46.07746432300007
28,32,DALY'S HOME CARE INC,Special Care Home,35256.0,28,TRIDER,CT,RIVERVIEW,,10,ROBERTA BUCHANAN,(506) 874-0757,ENGLISH,10,POINT (-64.80321138599999 46.04796458300007),-64.80321138599999,46.04796458300007
29,33,EMERY HOUSE,Special Care Home,31080.0,88,EMERY,ST,RIVERVIEW,,9,JEFF HUNTER,(506) 387-4518,ENGLISH,9,POINT (-64.75769593899997 46.07761605500008),-64.75769593899997,46.07761605500008
30,35,MAZEROLLE SPECIAL CARE HOME LTD.,Special Care Home,,448,GAUVIN,RD,DIEPPE,,26,DARLENE MAZEROLLE,(506) 861-9011,BILINGUAL,26,POINT (-64.73642840799994 46.09626533400007),-64.73642840799994,46.09626533400007
31,36,RESIDENCE BELLEVUE,Special Care Home,,36,CHARTERSVILLE,RD,DIEPPE,,40,ULYSSE MCGRAW,(506) 857-2077,BILINGUAL,40,POINT (-64.73141967199996 46.08453111500006),-64.73141967199996,46.08453111500006
32,37,RESIDENCE DU MARAIS LTEE,Special Care Home,,371,AMIRAULT,ST,DIEPPE,,65,PHILIPPE J. LEBLANC ET OMER GAUDET,(506) 858-1318,FRENCH,65,POINT (-64.73361896599994 46.08267490500003),-64.73361896599994,46.08267490500003
33,38,RESIDENCE MONCTON - AILE CENTENNAIRE,Special Care Home,39347.0,270,JOHN,ST,MONCTON,,50,JOHN WEILER,(506) 389-0100,BILINGUAL,50,POINT (-64.79657545799995 46.09150629700008),-64.79657545799995,46.09150629700008
34,39,RESIDENCE MONCTON RESIDENCE I,Special Care Home,38199.0,270,JOHN,ST,MONCTON,,60,JOHN WEILER,(506) 389-0100,BILINGUAL,60,POINT (-64.79774073699997 46.09166895100003),-64.79774073699997,46.09166895100003
35,40,RÉSIDENCE OASIS RESIDENCE INC,Special Care Home,,855,AMIRAULT,ST,DIEPPE,,60,JOHN WEILER,(506) 855-6676,BILINGUAL,60,POINT (-64.72467825099994 46.07262830600007),-64.72467825099994,46.07262830600007
36,41,RESIDENCE REINE DE LA PAIX,Special Care Home,,700,CHAMPLAIN,ST,DIEPPE,,21,HECTORINE SAVOIE,(506) 859-8707,BILINGUAL,21,POINT (-64.72488698299998 46.09991708500007),-64.72488698299998,46.09991708500007
37,42,RESIDENCE VIRGINIA INC,Special Care Home,,175,VIRGINIA,AVE,DIEPPE,,10,COLETTE ROBICHAUD LEBLANC,(506) 388-5763,FRENCH,10,POINT (-64.74898529999996 46.09328668300003),-64.74898529999996,46.09328668300003
38,43,RESIDENCE AUSTIN INC,Special Care Home,,620,LATOUR,ST,DIEPPE,,10,CHANTAL AUSTIN, (506) 382-5023,BILINGUAL,10,POINT (-64.75139517899999 46.10026468600006),-64.75139517899999,46.10026468600006
39,44,"SHANNEX RLC LIMITED, CANTERBURY HALL",Special Care Home,37355.0,824,COVERDALE,RD,RIVERVIEW,,60,JANICE COREY,(506) 387-7770,ENGLISH,60,POINT (-64.82748934199998 46.05597877000008),-64.82748934199998,46.05597877000008
40,45,SHAR'S CARE,Special Care Home,20592.0,53,WELDON,ST,MONCTON,,15,SHARON LEBLANC,(506) 858-9948,ENGLISH,15,POINT (-64.78650306599997 46.08749550500005),-64.78650306599997,46.08749550500005
41,46,SHAR'S CARE II,Special Care Home,3129.0,72,BOTSFORD,ST,MONCTON,,12,SHARON LEBLANC,(506) 858-9948,BILINGUAL,12,POINT (-64.77701769999999 46.09087424900008),-64.77701769999999,46.09087424900008
42,47,The Kenneth E. Spencer Nursing Home Inc.,Licensed Nursing Homes,1897.0,35,ATLANTIC BAPTIST,AVE,MONCTON,,200,,(506) 858-7870,English,200,POINT (-64.85819096699998 46.06020341000004),-64.85819096699998,46.06020341000004
43,48,Shannex RLC Ltd. - Monarch Hall,Licensed Nursing Homes,35776.0,826,COVERDALE,RD,RIVERVIEW,,72,,(506) 387-7770,English,72,POINT (-64.82836552099997 46.05539157300007),-64.82836552099997,46.05539157300007
44,49,The Salvation Army Lakeview Manor,Licensed Nursing Homes,35791.0,50,SUFFOLK,ST,RIVERVIEW,,50,,(506) 387-2012,English,50,POINT (-64.81085469099997 46.06477331800005),-64.81085469099997,46.06477331800005
45,50,Villa du Repos Inc,Licensed Nursing Homes,25474.0,125,MURPHY,AVE,MONCTON,,186,,(506) 857-3560,Bilingual,186,POINT (-64.77590636799994 46.11856061100008),-64.77590636799994,46.11856061100008
46,51,Villa Heritage Inc,Senior Complex,7240.0,500,ELMWOOD,DR,MONCTON,,Unknown,,(506) 856-9705,,0,POINT (-64.77448234899998 46.11888189100006),-64.77448234899998,46.11888189100006
47,52,MCNAIR MANOR - 11 BEECHWOOD,Special Care Home,2404.0,11,BEECHWOOD,AVE,MONCTON,,22,AMY MCNAIR,(506) 851-5852,ENGLISH,22,POINT (-64.78205565399998 46.11507281700005),-64.78205565399998,46.11507281700005
48,53,MCNAIR MANOR- 44 BEECHWOOD,Special Care Home,2420.0,44,BEECHWOOD,AVE,MONCTON,,18,AMY MCNAIR,(506) 851-5852,ENGLISH,18,POINT (-64.78132954799997 46.11596181900006),-64.78132954799997,46.11596181900006
49,54,MCNAIR MANOR - RIVERVIEW,Special Care Home,35971.0,137,WHITEPINE,RD,RIVERVIEW,,18,AMY MCNAIR,(506) 851-5852,ENGLISH,18,POINT (-64.82040326199996 46.04828178500003),-64.82040326199996,46.04828178500003
50,55,SERENACARE INC,Specialized Care Bed Homes,28115.0,4,BRIARLEA,DR,MONCTON,,13,SUSAN DIXSON,(506) 389-3205,ENGLISH,13,POINT (-64.85574954699996 46.12441352600007),-64.85574954699996,46.12441352600007
51,56,SERENACARE BY SERENE LIVING INC,Specialized Care Bed Homes,28138.0,15,LADY RUSSELL,ST,MONCTON,,18,SUSAN DIXSON,(506) 204-9155,ENGLISH,18,POINT (-64.85312294499994 46.10598883000006),-64.85312294499994,46.10598883000006
52,58,HILLSIDE VIEW SPECIAL CARE HOME INC,Specialized Care Bed Homes,8151.0,560,FRONT MOUNTAIN,RD,MONCTON,,13,VICKI WARD,(506) 388-3018,ENGLISH,13,POINT (-64.87972697499998 46.14658772100006),-64.87972697499998,46.14658772100006
53,59,PROTEM HEALTH SERVICES INC. - 77 GORGE ROAD,Specialized Care Bed Homes,25335.0,77,GORGE,RD,MONCTON,,10,TANYA WEATHERBEE,(506) 854-3700,ENGLISH,10,POINT (-64.85563123099996 46.12532211000007),-64.85563123099996,46.12532211000007
54,60,PROTEM HEALTH SERVICES INC. - 61 GORGE ROAD,Specialized Care Bed Homes,23804.0,61,GORGE,RD,MONCTON,,10,TANYA WEATHERBEE,(506) 854-3700,ENGLISH,10,POINT (-64.85513777199998 46.12487691900003),-64.85513777199998,46.12487691900003
55,61,PROTEM HEALTH SERVICES INC. - 71 GORGE ROAD,Specialized Care Bed Homes,25214.0,71,GORGE,RD,MONCTON,,10,TANYA WEATHERBEE,(506) 854-3700,ENGLISH,10,POINT (-64.85543184799997 46.12511924500006),-64.85543184799997,46.12511924500006
56,62,PROTEM HEALTH SERVICES INC. - 2069 MOUNTAIN ROAD,Special Care Home,14760.0,2069,MOUNTAIN,RD,MONCTON,,10,TANYA WEATHERBEE,(506) 854-3700,ENGLISH,10,POINT (-64.85822975299993 46.12457816900007),-64.85822975299993,46.12457816900007
57,63,PROTEM HEALTH SERVICES INC. - 2166 MOUNTAIN ROAD,Special Care Home,14775.0,2166,MOUNTAIN,RD,MONCTON,,10,TANYA WEATHERBEE,(506) 854-3700,ENGLISH,10,POINT (-64.86290074399994 46.12524534500005),-64.86290074399994,46.12524534500005
58,64,RESIDENCE BEAUX SOUVENIRS LTEE,Special Care Home,,393,AMIRAULT,ST,DIEPPE,,19,OMER GAUDET,(506) 204-8200,BILINGUAL,19,POINT (-64.73212214399996 46.08236276300005),-64.73212214399996,46.08236276300005
59,65,RESIDENCE MONCTON - AILE VICTORIA I,Specialized Care Bed Homes,39347.0,240,JOHN,ST,MONCTON,,18,JOHN WEILER,(506) 389-0100,BILINGUAL,18,POINT (-64.79636214599998 46.09154358200004),-64.79636214599998,46.09154358200004
60,66,RESIDENCE MONCTON RESIDENCE II,Special Care Home,38199.0,270,JOHN,ST,MONCTON,,60,JOHN WEILER,(506) 389-0100,BILINGUAL,60,POINT (-64.79772535899997 46.09150206300006),-64.79772535899997,46.09150206300006
61,67,THE BRIARLEA II,Special Care Home,23965.0,75,BRIARLEA,DR,MONCTON,,12,PIERRE BEAULIEU,(506) 857-8866,ENGLISH,12,POINT (-64.85873475499994 46.12604266100004),-64.85873475499994,46.12604266100004
62,68,Faubourg du Mascaret ,Senior Complex,39711.0,171,MORTON,AVE,MONCTON,,Unknown,,384-7275,,64,POINT (-64.78488550899993 46.11138032500003),-64.78488550899993,46.11138032500003
63,69,Shannex RLC Ltd. - Pavillon Richard,Licensed Nursing Home,,189,MORTON,AVE,MONCTON,,64,,(506) 854-2381,BILINGUAL,64,POINT (-64.78576974399994 46.11207068800007),-64.78576974399994,46.11207068800007
64,70,THE BRIARLEA 4,Specialized Care Bed Homes,,599,RYAN,ST,MONCTON,,6,PIERRE BEAULIEU,(506) 204-3139,ENGLISH,6,POINT (-64.86098044099998 46.10416388900006),-64.86098044099998,46.10416388900006
65,71,THE BRIARLEA 5,Specialized Care Bed Homes,,599,RYAN,ST,MONCTON,,18,PIERRE BEAULIEU,(506) 204-3139,ENGLISH,18,POINT (-64.86098044099998 46.10416388900006),-64.86098044099998,46.10416388900006
66,72,THE BRIARLEA 3,Special Care Home,,599,RYAN,ST,MONCTON,,10,PIERRE BEAULIEU,(506) 204-3139,ENGLISH,10,POINT (-64.86098044099998 46.10416388900006),-64.86098044099998,46.10416388900006
67,73,RESIDENCE MONCTON - AILE VICTORIA II,Specialized Care Bed Homes,39347.0,240,JOHN,ST,MONCTON,,18,JOHN WEILER,(506) 389-0100,BILINGUAL,18,POINT (-64.79623484399997 46.09156304800007),-64.79623484399997,46.09156304800007
