,Location,Address1,Address2,City,Phone,DateAvailable,BookingLink,VaccineType,VaccineType2,VaccineType3,walkInAvailability,DX_COORDINATES,Take Home Test Kits,POINT,LONGITUDE,LATITUDE
14,MEDICINE SHOPPE PHARMACY 127,1016A 20 ST S,,LETHBRIDGE,403-380-3282,Over 4 weeks,https://www.medicineshoppebyhospital.ca,PFIZER,MODERNA,,True,"49.68312622638937, -112.81322117308265",,POINT (-112.813221173083 49.683126226389),-112.813221173083,49.683126226389
15,DRUGSTORE PHARMACY #9021,5701  50 AVE,,ST PAUL,780-645-7035,Over 4 weeks,https://www.extrafoods.ca/covid19,PFIZER,,,True,"54.005315733261796, -111.32509146484362",,POINT (-111.325091464844 54.005315733262),-111.325091464844,54.005315733262
16,PHARMASAVE #364,124 CENTRE AVE W,,BLACK DIAMOND,,Over 4 weeks,https://pharmasave.com/black-diamond/covid-vaccinations/,PFIZER,MODERNA,,True,"50.688597383872676, -114.23406878160256",,POINT (-114.234068781603 50.688597383873),-114.234068781603,50.688597383873
17,SHOPPERS DRUG MART #2448,924 91 ST SW,,EDMONTON,780-485-5550,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"53.424564756072236, -113.4765145907143",,POINT (-113.476514590714 53.424564756072),-113.476514590714,53.424564756072
18,SAFEWAY PHARMACY #8928,146-3210 118 AVE NW,,EDMONTON,780-477-0855,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.57162281391652, -113.39052168551581",,POINT (-113.390521685516 53.571622813917),-113.390521685516,53.571622813917
19,MEDICINE SHOPPE PHARMACY 274,831 SADDLEBACK RD NW,,EDMONTON,780-435-3345,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-274-7041890,PFIZER,,,False,"53.45324428332221, -113.5241612023493",,POINT (-113.524161202349 53.453244283322),-113.524161202349,53.453244283322
20,MEDICINE SHOPPE PHARMACY 390,2356 23 AVE NW,,EDMONTON,780-485-1378,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-390-7028732,PFIZER,MODERNA,,True,"53.45509594472576, -113.37644345944946",,POINT (-113.376443459449 53.455095944726),-113.376443459449,53.455095944726
21,SHOPPERS DRUG MART #350,5500 FALSBRIDGE DR NE,,CALGARY,403-293-2560,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"51.0980379703412, -113.95569630355418",,POINT (-113.955696303554 51.098037970341),-113.955696303554,51.098037970341
22,SHOPPERS DRUG MART #2311,10720 78 AVE,,GRANDE PRAIRIE,780-814-9028,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,MODERNA,,,True,"55.15218128487392, -118.81833535774145",,POINT (-118.818335357741 55.152181284874),-118.818335357741,55.152181284874
23,ALPINE DRUG MART,5132 49 ST,,ROCKY MOUNTAIN HOUSE,403-845-6904,Over 4 weeks,https://alpinevaluedrugmart.medmeapp.com/schedule,PFIZER,MODERNA,,False,"52.37733106277647, -114.91803485712113",,POINT (-114.918034857121 52.377331062776),-114.918034857121,52.377331062776
24,WEST HEALTH PHARMACY,10660 156 ST NW,,EDMONTON,780-244-1390,Over 4 weeks,,PFIZER,MODERNA,,True,"53.550704859209276, -113.59032766332889",,POINT (-113.590327663329 53.550704859209),-113.590327663329,53.550704859209
25,LIFECARE PHARMACY,1332 WINDERMERE WAY SW,,EDMONTON,780-710-7107,Over 4 weeks,,PFIZER,MODERNA,,True,"53.43375228903615, -113.61808789944305",,POINT (-113.618087899443 53.433752289036),-113.618087899443,53.433752289036
26,SAFEWAY PHARMACY #8874,985 FIR ST,,SHERWOOD PARK,780-467-0153,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.51350895439901, -113.32371218661854",,POINT (-113.323712186619 53.513508954399),-113.323712186619,53.513508954399
27,SAFEWAY PHARMACY #8907,9601 FRANKLIN AVE,,FORT MCMURRAY,780-790-2388,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,True,"56.723376621490914, -111.37398505345234",,POINT (-111.373985053452 56.723376621491),-111.373985053452,56.723376621491
28,SHOPPERS DRUG MART #2325,300-1500 MAIN ST SW,,SLAVE LAKE,780-849-4556,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"55.33570302024018, -114.45593922823564",,POINT (-114.455939228236 55.33570302024),-114.455939228236,55.33570302024
29,WALDINS PHARMACY LTD.,9124 23 AVE NW,,EDMONTON,780-756-3350,Over 4 weeks,,PFIZER,,,False,"53.452702924342624, -113.4695944593123",,POINT (-113.469594459312 53.452702924343),-113.469594459312,53.452702924343
30,WAL-MART PHARMACY #3151,100-310 SHAWVILLE BLVD SE,,CALGARY,403-201-5426,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,True,"50.90101993427606, -114.0606655812924",,POINT (-114.060665581292 50.901019934276),-114.060665581292,50.901019934276
31,LOBLAW PHARMACY #1541,3515 MAYOR MAGRATH DR S,,LETHBRIDGE,403-331-2535,Over 4 weeks,https://www.realcanadiansuperstore.ca/covid19,PFIZER,,,True,"49.65923890770609, -112.7891074149965",,POINT (-112.789107414996 49.659238907706),-112.789107414996,49.659238907706
32,MEDICINE SHOPPE PHARMACY 411,3-704 MAIN ST SE,,AIRDRIE,403-980-1587,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/airdrie/the-medicine-shoppe-pharmacy-411-7046160,PFIZER,MODERNA,,True,"51.28657466033382, -114.01220884062474",,POINT (-114.012208840625 51.286574660334),-114.012208840625,51.286574660334
33,MACMILLAN'S PHARMACY,108-4930 55 AVE,,DRAYTON VALLEY,780-542-5102,Over 4 weeks,,PFIZER,,,False,"53.22859995194274, -114.97467783062284",,POINT (-114.974677830623 53.228599951943),-114.974677830623,53.228599951943
34,PACIFIC PLACE PHARMASAVE #393,958B-999 36 ST NE,,CALGARY,403-768-0202,Over 4 weeks,https://www.pacificplacepharmasave.com,PFIZER,MODERNA,,True,"51.0622958074052, -113.98403488058095",,POINT (-113.984034880581 51.062295807405),-113.984034880581,51.062295807405
35,SHOPPERS DRUG MART #323,108-392 ST. ALBERT TR,,ST ALBERT,780-458-5880,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"53.64442076170706, -113.62815068658486",,POINT (-113.628150686585 53.644420761707),-113.628150686585,53.644420761707
36,SHOPPERS DRUG MART #2405,4940 137 AVE NW,,EDMONTON,780-670-5097,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"53.59771275511491, -113.40982892862672",,POINT (-113.409828928627 53.597712755115),-113.409828928627,53.597712755115
37,SHOPPERS DRUG MART #349,7606 ELBOW DRIVE SW,,CALGARY,403-255-1851,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"50.98600973550719, -114.08248073054618",,POINT (-114.082480730546 50.986009735507),-114.082480730546,50.986009735507
38,ZENRX PHARMACY,450 14 ST NW,,CALGARY,403-270-7444,Over 4 weeks,,MODERNA,,,False,"51.05661209681784, -114.09432945980619",,POINT (-114.094329459806 51.056612096818),-114.094329459806,51.056612096818
39,CROWBOROUGH PHARMACY,111-6055 ANDREWS WAY SW,,EDMONTON,587-735-3492,Over 4 weeks,https://www.crowboroughpharmacy.com,PFIZER,,,False,"53.42981801883372, -113.59143481476812",,POINT (-113.591434814768 53.429818018834),-113.591434814768,53.429818018834
40,LOBLAW PHARMACY #4410,1906 8 AVE,,FORT MACLEOD,403-553-7905,Over 4 weeks,https://www.yourindependentgrocer.ca/covid19,PFIZER,,,False,"49.72239062805474, -113.38963995930827",,POINT (-113.389639959308 49.722390628055),-113.389639959308,49.722390628055
41,SHOPPERS DRUG MART #341,WESTLAND MALL,70 MCLEOD AVE HWY 16,SPRUCE GROVE,780-962-5202,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"53.54282311369693, -113.91459281513383",,POINT (-113.914592815134 53.542823113697),-113.914592815134,53.542823113697
42,CO-OP PHARMACY STONY PLAIN,4917A 50 AVE,,STONY PLAIN,780-963-8432,Over 4 weeks,,PFIZER,,,True,"53.5300849653886, -114.00669961495007",,POINT (-114.00669961495 53.530084965389),-114.00669961495,53.530084965389
43,Macleod South,14815 Bannister Road SE,,CALGARY,811,Over 4 weeks,https://www.albertahealthservices.ca/topics/Page17295.aspx,PFIZER,MODERNA,ASTRAZENECA,False,"50.919813432719316, -114.06936577143128",,POINT (-114.069365771431 50.919813432719),-114.069365771431,50.919813432719
44,REXALL #7517,20-12 AQUITANIA BLVD W,,LETHBRIDGE,587-486-9357,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"49.67325566541579, -112.90179382958954",,POINT (-112.90179382959 49.673255665416),-112.90179382959,49.673255665416
45,SRX PHARMACY #2,B01-8625 112 ST,,EDMONTON,587-454-2413,Over 4 weeks,,PFIZER,,,False,"53.522827365082904, -113.52042454396958",,POINT (-113.52042454397 53.522827365083),-113.52042454397,53.522827365083
46,WILLOW PARK PHARMASAVE #362,5905 50 ST,,LEDUC,780-612-6994,Over 4 weeks,https://leducpharmasave.com,PFIZER,MODERNA,,True,"53.27304547519219, -113.54889755778892",,POINT (-113.548897557789 53.273045475192),-113.548897557789,53.273045475192
47,SAVE-ON-FOODS PHARMACY #6628,10819 106 AVE,,GRANDE PRAIRIE,780-402-2530,Over 4 weeks,https://saveonfoodspharmacy.medmeapp.com/schedule/,MODERNA,,,True,"55.175161657248445, -118.8217344479456",,POINT (-118.821734447946 55.175161657248),-118.821734447946,55.175161657248
48,WOODS DISPENSARY,2931 20 AVE S,,LETHBRIDGE,403-328-0822,Over 4 weeks,,PFIZER,,,False,"49.67337327292146, -112.79767710944934",,POINT (-112.797677109449 49.673373272921),-112.797677109449,49.673373272921
49,MORINVILLE PHARMACY,103-10507 100 AVE,,MORINVILLE,780-572-6155,Over 4 weeks,,PFIZER,,,False,"53.801596933093, -113.65447096757117",,POINT (-113.654470967571 53.801596933093),-113.654470967571,53.801596933093
50,REXALL #7228,300-9650 HARVEST HILLS BLVD NE,,CALGARY,403-567-9102,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,True,"51.140796689247644, -114.0682160058575",,POINT (-114.068216005857 51.140796689248),-114.068216005857,51.140796689248
51,SHOPPERS DRUG MART #2396,6428 28 AVE NW,,EDMONTON,780-463-8833,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"53.46033113670044, -113.43148521698251",,POINT (-113.431485216983 53.4603311367),-113.431485216983,53.4603311367
52,REXALL #7215,116 TOWN CREST RD,,FORT SASKATCHEWAN,780-998-3217,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,MODERNA,,False,"53.682000121158666, -113.24082007866791",,POINT (-113.240820078668 53.682000121159),-113.240820078668,53.682000121159
53,LUKES DRUG MART-KILLARNEY,3407 26 AVE SW,,CALGARY,403-242-1566,Over 4 weeks,https://www.lukesdrugmart.com,PFIZER,,,True,"51.029796382964776, -114.13593823054494",,POINT (-114.135938230545 51.029796382965),-114.135938230545,51.029796382965
54,WAL-MART PHARMACY #1094,6110 CURRENTS DR NW,,EDMONTON,780-438-1161,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,MODERNA,,True,"53.438863726373235, -113.59993274004295",,POINT (-113.599932740043 53.438863726373),-113.599932740043,53.438863726373
55,SAFEWAY PHARMACY #8915,615 DIVISION AVE SE,,MEDICINE HAT,403-504-2925,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"50.03307859522794, -110.68451200019605",,POINT (-110.684512000196 50.033078595228),-110.684512000196,50.033078595228
56,DOAN PHARMACY LTD,10920 107 AVE NW,,EDMONTON,780-423-8088,Over 4 weeks,,MODERNA,,,True,"53.55170422959095, -113.50982211661767",,POINT (-113.509822116618 53.551704229591),-113.509822116618,53.551704229591
57,DISCOVERY RIDGE COMPOUNDING PHARMACY AND TRAVEL CLINIC,712-10 DISCOVERY RIDGE HILL SW,,CALGARY,403-475-4325,Over 4 weeks,https://www.discoveryridgepharmacy.ca,PFIZER,,,True,"51.0156410717315, -114.21362983016934",,POINT (-114.213629830169 51.015641071732),-114.213629830169,51.015641071732
58,CONNECTCARE PHARMACY SPRUCE GROVE,214-20 WESTWIND DR,,SPRUCE GROVE,587-461-2060,Over 4 weeks,,PFIZER,MODERNA,,True,"53.566282446391746, -113.88354049960658",,POINT (-113.883540499607 53.566282446392),-113.883540499607,53.566282446392
59,WAL-MART PHARMACY #3029,1203 PARSONS RD NW,,EDMONTON,780-465-1595,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,MODERNA,,True,"53.442677602762096, -113.46745029672041",,POINT (-113.46745029672 53.442677602762),-113.46745029672,53.442677602762
60,CO-OP PHARMACY TRADER RIDGE,13201 102 ST,,GRANDE PRAIRIE,780-402-8299,Over 4 weeks,,PFIZER,,,False,"55.200462671368015, -118.79999703023815",,POINT (-118.799997030238 55.200462671368),-118.799997030238,55.200462671368
61,HEALTH WAY PHARMACY,109-5809 MACLEOD TR SW,,CALGARY,403-460-3825,Over 4 weeks,,PFIZER,MODERNA,,True,"51.00187606341906, -114.07246148784179",,POINT (-114.072461487842 51.001876063419),-114.072461487842,51.001876063419
62,RX DRUG MART #2021,5004 53 AVE,,HIGH PRAIRIE,780-523-3878,Over 4 weeks,,PFIZER,,,True,"55.43343175494958, -116.49581312481573",,POINT (-116.495813124816 55.43343175495),-116.495813124816,55.43343175495
63,SHOPPERS DRUG MART #2341,10015 107 ST,,WESTLOCK,780-349-3388,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"54.15638834852529, -113.86022988235388",,POINT (-113.860229882354 54.156388348525),-113.860229882354,54.156388348525
64,SAFEWAY PHARMACY #8989,100-4915 130 AVE SE,,CALGARY,403-257-8520,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,True,"50.93045298157235, -113.96310956154393",,POINT (-113.963109561544 50.930452981572),-113.963109561544,50.930452981572
65,STAFFORD PHARMACY & HOME HEALTHCARE,5-1475 ST. EDWARD BLVD N,,LETHBRIDGE,403-320-6500,Over 4 weeks,https://www.book.pharmachoice.com/%28403%29320-6500,PFIZER,,,False,"49.71839071307365, -112.83144408825095",,POINT (-112.831444088251 49.718390713074),-112.831444088251,49.718390713074
66,MEDICINE SHOPPE PHARMACY 370,11407 40 AVE NW,,EDMONTON,780-468-1557,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-370-7010470,PFIZER,MODERNA,,True,"53.47563211050439, -113.52775178643753",,POINT (-113.527751786438 53.475632110504),-113.527751786438,53.475632110504
67,SHOPPERS DRUG MART #325,198-8060 SILVER SPRINGS BLVD,,CALGARY,403-288-1125,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"51.11694915565782, -114.20571990754752",,POINT (-114.205719907548 51.116949155658),-114.205719907548,51.116949155658
68,Deerfoot North Clinic,911 32 Avenue NE,Drive-Thru,CALGARY,811,Starts June 7,https://www.albertahealthservices.ca/topics/Page17295.aspx,PFIZER,MODERNA,ASTRAZENECA,False,"51.080715254995454, -114.04315198305827",,POINT (-114.043151983058 51.080715254995),-114.043151983058,51.080715254995
69,RX DRUG MART #2023,1-6601 48 AVE,,CAMROSE,780-672-0100,Over 4 weeks,https://www.remedys.ca,PFIZER,,,True,"53.01585789125072, -112.85599347657799",,POINT (-112.855993476578 53.015857891251),-112.855993476578,53.015857891251
70,MEDICINE SHOPPE PHARMACY 349,141B-355 LOUTIT RD,,FORT MCMURRAY,780-790-1234,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/fort-mcmurray/the-medicine-shoppe-pharmacy-349-7000617,PFIZER,,,True,"56.75288203555405, -111.42858700165208",,POINT (-111.428587001652 56.752882035554),-111.428587001652,56.752882035554
71,MELL PHARMACY,771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,Over 4 weeks,https://mellpharmacy.medmeapp.ca/schedule,PFIZER,,,False,"51.08260366691243, -114.09593727303199",,POINT (-114.095937273032 51.082603666912),-114.095937273032,51.082603666912
72,LOBLAW PHARMACY #4202,4420 52 AVE,,WHITECOURT,780-706-4091,Over 4 weeks,https://www.nofrills.ca/covid19,PFIZER,,,False,"54.14298770257875, -115.6722398437232",,POINT (-115.672239843723 54.142987702579),-115.672239843723,54.142987702579
73,LONDONDALE GUARDIAN PHARMACY,7606 144 AVE NW,,EDMONTON,780-475-0040,Over 4 weeks,https://www.bookyourvisit.ca/londondale,MODERNA,,,True,"53.607757987353565, -113.45825141490116",,POINT (-113.458251414901 53.607757987354),-113.458251414901,53.607757987354
74,PHARMASAVE HIDDEN VALLEY,311-11 HIDDEN CREEK DR NW,,CALGARY,403-275-1000,Over 4 weeks,https://hiddenvalley.medmeapp.ca/schedule/,PFIZER,MODERNA,,True,"51.15509270074208, -114.1037701306997",,POINT (-114.1037701307 51.155092700742),-114.1037701307,51.155092700742
75,KAI HEALTH (KENSINGTON) PHARMACY,12620A 132 AVE NW,,EDMONTON,780-488-6699,Over 4 weeks,,PFIZER,,,True,"53.593309172888496, -113.53905949941985",,POINT (-113.53905949942 53.593309172888),-113.53905949942,53.593309172888
76,REXALL #7248,13709 66 ST NW,,EDMONTON,780-456-5706,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"53.600391310113075, -113.44180565823972",,POINT (-113.44180565824 53.600391310113),-113.44180565824,53.600391310113
77,SOUTHBANK REMEDY'S RX,120-158 SOUTHBANK ST,,OKOTOKS,403-982-9779,Over 4 weeks,https://southbankpharmacy.myappts.ca,MODERNA,,,True,"50.705910260577106, -113.94444980171858",,POINT (-113.944449801719 50.705910260577),-113.944449801719,50.705910260577
78,SAFEWAY PHARMACY #8883,200 CORNERSTONE,6800  48 AVE,CAMROSE,780-672-1680,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,True,"53.01808569923614, -112.8723639829328",,POINT (-112.872363982933 53.018085699236),-112.872363982933,53.018085699236
79,WEST POINTE PHARMACY,124-4850 WESTWINDS DR NE,,CALGARY,403-285-6555,Over 4 weeks,,PFIZER,MODERNA,,True,"51.10101554869387, -113.96377837873106",,POINT (-113.963778378731 51.101015548694),-113.963778378731,51.101015548694
80,FOURNIER DRUGS,1306 SHOPPERS PARK MALL,,GRANDE CACHE,780-827-3230,Over 4 weeks,,MODERNA,,,False,"53.88838925815483, -119.11662083775984",,POINT (-119.11662083776 53.888389258155),-119.11662083776,53.888389258155
81,SAFEWAY PHARMACY #8895,10930 82 AVE NW,,EDMONTON,780-439-9767,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.51888628489124, -113.51341998421873",,POINT (-113.513419984219 53.518886284891),-113.513419984219,53.518886284891
82,GLENGARRY PHARMACY,115-12222 137 AVE NW,,EDMONTON,780-473-6636,Over 4 weeks,https://glengarrypharmacy.myappts.ca/src/,PFIZER,,,True,"53.600607012020006, -113.53297875894435",,POINT (-113.532978758944 53.60060701202),-113.532978758944,53.60060701202
83,MEDICINE SHOPPE PHARMACY 377,6610 132 AVE NW,,EDMONTON,780-705-7150,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-377-7022763,PFIZER,MODERNA,,True,"53.59213405017055, -113.4444961036202",,POINT (-113.44449610362 53.592134050171),-113.44449610362,53.592134050171
84,PHARMASAVE MILLIGAN DRIVE,2-100 MILLIGAN DR,,OKOTOKS,403-982-7663,Over 4 weeks,https://okotokspharmasave.medmeapp.com/schedule/,MODERNA,,,True,"50.73271621687378, -113.96674805955037",,POINT (-113.96674805955 50.732716216874),-113.96674805955,50.732716216874
85,ROSEWOOD PHARMACY,120-201 FESTIVAL WAY,,SHERWOOD PARK,587-200-0159,Over 4 weeks,,PFIZER,MODERNA,,True,"53.52793393122191, -113.29768061360477",,POINT (-113.297680613605 53.527933931222),-113.297680613605,53.527933931222
86,PHARMASAVE #377,ROYAL CENTRE NORTH,16636 71 ST NW,EDMONTON,780-705-2528,Over 4 weeks,,PFIZER,MODERNA,,False,"53.628235248133336, -113.45209270177253",,POINT (-113.452092701773 53.628235248133),-113.452092701773,53.628235248133
87,PHARMASAVE #397,11015 102 AVE,,FAIRVIEW,780-835-3485,Over 4 weeks,,PFIZER,MODERNA,,True,"56.066591542102394, -118.38562788622524",,POINT (-118.385627886225 56.066591542102),-118.385627886225,56.066591542102
88,MONTROSE PHARMACY,7240 118 AVE NE,,EDMONTON,780-249-4833,Over 4 weeks,,MODERNA,,,True,"53.571027154188606, -113.45147671698072",,POINT (-113.451476716981 53.571027154189),-113.451476716981,53.571027154189
89,BERWYN PHARMACY LTD,5115 51 ST,,BERWYN,780-338-3071,Over 4 weeks,,PFIZER,,,True,"56.14709753686973, -117.73620683189804",,POINT (-117.736206831898 56.14709753687),-117.736206831898,56.14709753687
90,LONDON DRUGS #33,3630 BRENTWOOD RD NW,,CALGARY,403-289-4512,Over 4 weeks,https://www.londondrugs.com/covid19,MODERNA,,,True,"51.08504956958733, -114.12364153030505",,POINT (-114.123641530305 51.085049569587),-114.123641530305,51.085049569587
91,REXALL #7282,14-11625 ELBOW DR SW,,CALGARY,403-281-7333,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"50.948796417903466, -114.08567603986917",,POINT (-114.085676039869 50.948796417903),-114.085676039869,50.948796417903
92,VILLAGE LANE PHARMACY,15-1300 VILLAGE LANE,,OKOTOKS,403-938-0110,Over 4 weeks,,PFIZER,MODERNA,,True,"50.71969578705873, -113.98348711521267",,POINT (-113.983487115213 50.719695787059),-113.983487115213,50.719695787059
93,MEDICINE SHOPPE PHARMACY 251,3805 ROSS ST,,RED DEER,403-343-8088,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/red-deer/the-medicine-shoppe-pharmacy-251-7040887,PFIZER,,,False,"52.26659118573746, -113.78512330608652",,POINT (-113.785123306087 52.266591185737),-113.785123306087,52.266591185737
94,MINT HEALTH + DRUGS: LANGDON,107-355 CENTRE ST,,LANGDON,403-936-0448,Over 4 weeks,https://www.mintdrugs.com,MODERNA,,,True,"50.97411878211075, -113.68018240110892",,POINT (-113.680182401109 50.974118782111),-113.680182401109,50.974118782111
95,CHAPARRAL PHARMACY,210-10 CHAPARRAL DR SE,,CALGARY,403-475-5544,Over 4 weeks,https://www.chaparralpharmacy.ca/book-your-pfizer-covid-19-immunization/,PFIZER,,,True,"50.887717686810475, -114.03615561733555",,POINT (-114.036155617336 50.88771768681),-114.036155617336,50.88771768681
96,NOTTINGHAM PHARMACY,300-664 WYE RD,,SHERWOOD PARK,780-570-0995,Over 4 weeks,,PFIZER,MODERNA,,True,"53.512702358121146, -113.27480077819679",,POINT (-113.274800778197 53.512702358121),-113.274800778197,53.512702358121
97,TWIN BROOKS PHARMACY,11029 9 AVE NW,,EDMONTON,780-784-0462,Over 4 weeks,http://www.twinbrookspharmacy.com,PFIZER,MODERNA,,True,"53.439233380018756, -113.51714453047751",,POINT (-113.517144530478 53.439233380019),-113.517144530478,53.439233380019
98,WAL-MART PHARMACY #1089,7979 11 ST SE,,CALGARY,403-251-2671,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,MODERNA,,,True,"50.98426435468065, -114.04513136764008",,POINT (-114.04513136764 50.984264354681),-114.04513136764,50.984264354681
